distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_spent,cost
28.0,5.0,26,21.5,12,E10,0,0,0,9.5,1.4,2.548
12.0,4.2,30,21.5,13,E10,0,0,0,8.5,0.504,0.91728
11.2,5.5,38,21.5,15,E10,0,0,0,6.5,0.616,1.1211200000000001
12.9,3.9,36,21.5,14,E10,0,0,0,7.5,0.5031,0.9156420000000001
18.5,4.5,46,21.5,15,E10,0,0,0,6.5,0.8325,1.51515
8.3,6.4,50,21.5,10,E10,0,0,0,11.5,0.5312,0.9667840000000001
7.8,4.4,43,21.5,11,E10,0,0,0,10.5,0.3432,0.6246240000000001
12.3,5.0,40,21.5,6,E10,0,0,0,15.5,0.615,1.1193
4.9,6.4,26,21.5,4,E10,0,0,0,17.5,0.31360000000000005,0.5707520000000001
11.9,5.3,30,21.5,9,E10,0,0,0,12.5,0.6307,1.147874
12.4,5.6,42,21.5,4,E10,0,0,0,17.5,0.6944,1.263808
11.8,4.6,38,21.5,0,E10,0,0,0,21.5,0.5428000000000001,0.9878960000000001
12.3,5.9,59,21.5,10,E10,0,0,0,11.5,0.7257000000000001,1.3207740000000003
24.7,5.1,58,21.5,12,E10,0,0,0,9.5,1.2596999999999998,2.2926539999999997
12.4,4.7,46,21.5,11,E10,0,0,0,10.5,0.5828,1.060696
17.3,5.1,24,21.5,5,E10,0,0,0,16.5,0.8823000000000001,1.6057860000000002
33.4,5.6,36,21.5,3,E10,0,0,0,18.5,1.8703999999999998,3.404128
11.8,5.1,32,21.5,3,E10,0,0,0,18.5,0.6018,1.0952760000000001
25.9,4.9,39,21.5,8,E10,0,0,0,13.5,1.2691,2.309762
11.8,4.7,40,21.5,4,E10,0,0,0,17.5,0.5546000000000001,1.0093720000000002
25.3,5.5,32,21.5,3,E10,0,0,0,18.5,1.3915,2.53253
14.2,5.9,38,21.5,1,E10,0,0,0,20.5,0.8378,1.524796
17.9,5.7,37,21.5,1,E10,0,0,0,20.5,1.0203,1.856946
11.8,4.7,36,21.5,1,E10,0,0,0,20.5,0.5546000000000001,1.0093720000000002
12.3,5.9,62,21.5,6,E10,0,0,0,15.5,0.7257000000000001,1.3207740000000003
12.4,4.1,57,21.5,9,E10,0,0,0,12.5,0.5084,0.925288
18.4,5.7,21,22.5,2,E10,0,0,0,20.5,1.0488,1.908816
18.4,5.8,28,21.5,3,E10,0,0,0,18.5,1.0672,1.942304
18.3,5.5,29,21.5,1,E10,0,0,0,20.5,1.0065,1.83183
18.4,5.7,35,21.5,4,E10,0,0,0,17.5,1.0488,1.908816
12.3,5.3,51,21.5,11,E10,0,0,0,10.5,0.6518999999999999,1.186458
11.8,5.0,29,21.5,10,E10,0,0,0,11.5,0.59,1.0738
12.3,5.6,58,21.5,8,E10,0,0,0,13.5,0.6888,1.253616
32.6,4.8,40,21.5,7,E10,0,0,0,14.5,1.5648,2.8479360000000002
19.0,4.3,36,21.5,7,E10,0,0,0,14.5,0.8170000000000001,1.4869400000000002
