distance,consume,speed,trip_consumption,temp_inside,temp_outside,gas_type,ac,rain,sun,refill_liters,refill_gas,trip_number
28.0,5.0,26,1.4,21.5,12,E10,0,0,0,45.0,E10,1
12.0,4.2,30,0.5,21.5,13,E10,0,0,0,0,None,1
11.2,5.5,38,0.62,21.5,15,E10,0,0,0,0,None,1
12.9,3.9,36,0.5,21.5,14,E10,0,0,0,0,None,1
18.5,4.5,46,0.83,21.5,15,E10,0,0,0,0,None,1
8.3,6.4,50,0.53,21.5,10,E10,0,0,0,0,None,1
7.8,4.4,43,0.34,21.5,11,E10,0,0,0,0,None,1
12.3,5.0,40,0.62,21.5,6,E10,0,0,0,0,None,1
4.9,6.4,26,0.31,21.5,4,E10,0,0,0,0,None,1
11.9,5.3,30,0.63,21.5,9,E10,0,0,0,0,None,1
12.4,5.6,42,0.69,21.5,4,E10,0,0,0,0,None,1
11.8,4.6,38,0.54,21.5,0,E10,0,0,0,0,None,1
12.3,5.9,59,0.73,21.5,10,E10,0,0,0,0,None,1
24.7,5.1,58,1.26,21.5,12,E10,0,0,0,0,None,1
12.4,4.7,46,0.58,21.5,11,E10,0,0,0,0,None,1
17.3,5.1,24,0.88,21.5,5,E10,0,0,0,0,None,1
33.4,5.6,36,1.87,21.5,3,E10,0,0,0,0,None,1
11.8,5.1,32,0.6,21.5,3,E10,0,0,0,0,None,1
25.9,4.9,39,1.27,21.5,8,E10,0,0,0,0,None,1
11.8,4.7,40,0.55,21.5,4,E10,0,0,0,0,None,1
25.3,5.5,32,1.39,21.5,3,E10,0,0,0,0,None,1
14.2,5.9,38,0.84,21.5,1,E10,0,0,0,0,None,1
17.9,5.7,37,1.02,21.5,1,E10,0,0,0,0,None,1
11.8,4.7,36,0.55,21.5,1,E10,0,0,0,0,None,1
12.3,5.9,62,0.73,21.5,6,E10,0,0,0,0,None,1
12.4,4.1,57,0.51,21.5,9,E10,0,0,0,0,None,1
18.4,5.7,21,1.05,22.5,2,E10,0,0,0,0,None,1
18.4,5.8,28,1.07,21.5,3,E10,0,0,0,0,None,1
18.3,5.5,29,1.01,21.5,1,E10,0,0,0,0,None,1
18.4,5.7,35,1.05,21.5,4,E10,0,0,0,0,None,1
12.3,5.3,51,0.65,21.5,11,E10,0,0,0,0,None,1
11.8,5.0,29,0.59,21.5,10,E10,0,0,0,0,None,1
12.3,5.6,58,0.69,21.5,8,E10,0,0,0,0,None,1
32.6,4.8,40,1.56,21.5,7,E10,0,0,0,0,None,1
19.0,4.3,36,0.82,21.5,7,E10,0,0,0,0,None,1
12.1,5.7,36,0.69,21.5,8,E10,0,0,0,0,None,1
20.0,5.2,37,1.04,21.5,4,E10,0,0,0,0,None,1
4.9,7.4,26,0.36,21.5,6,E10,0,0,0,0,None,1
11.8,4.8,23,0.57,21.5,9,E10,0,0,0,0,None,1
12.3,6.5,58,0.8,21.5,7,E10,0,0,0,0,None,1
12.4,4.0,55,0.5,21.5,7,E10,1,1,0,0,None,1
4.5,5.0,29,0.22,21.5,7,E10,1,0,0,0,None,1
11.7,4.6,37,0.54,21.5,6,E10,0,0,0,0,None,1
10.2,4.3,44,0.44,21.5,7,E10,0,0,0,0,None,1
5.4,3.3,32,0.18,21.5,7,SP98,0,0,0,37.6,SP98,2
2.0,9.9,21,0.2,21.5,4,SP98,0,0,0,0,None,2
14.2,5.1,32,0.72,21.5,7,SP98,0,0,0,0,None,2
16.0,4.9,25,0.78,21.5,8,SP98,0,0,0,0,None,2
11.8,4.9,25,0.58,21.5,11,SP98,0,0,0,0,None,2
27.3,4.7,36,1.28,21.5,10,SP98,0,0,0,0,None,2
11.8,5.1,29,0.6,21.5,5,SP98,0,1,0,0,None,2
10.6,4.9,63,0.52,21.5,6,SP98,0,0,0,0,None,2
11.6,4.2,61,0.49,21.5,7,SP98,0,0,0,0,None,2
13.1,6.1,46,0.8,21.5,6,SP98,0,1,0,0,None,2
6.1,6.4,28,0.39,21.5,8,SP98,0,0,0,0,None,2
153.5,4.9,82,7.52,21.5,3,SP98,0,1,0,0,None,2
11.8,4.9,24,0.58,21.5,7,SP98,0,0,0,0,None,2
12.3,6.2,61,0.76,21.5,8,SP98,0,0,0,0,None,2
12.4,4.2,57,0.52,21.5,8,SP98,0,0,0,0,None,2
12.3,5.7,52,0.7,21.5,8,SP98,0,1,0,0,None,2
2.9,7.9,18,0.23,21.5,9,SP98,1,1,0,0,None,2
2.1,12.2,23,0.26,21.5,9,SP98,1,1,0,0,None,2
9.8,5.8,24,0.57,21.5,6,SP98,0,0,0,0,None,2
6.8,5.3,26,0.36,21.5,6,SP98,0,0,0,0,None,2
12.4,5.4,24,0.67,21.5,7,SP98,0,0,0,0,None,2
12.4,4.7,57,0.58,21.5,8,SP98,0,0,0,0,None,2
11.8,4.6,41,0.54,21.5,6,SP98,0,0,0,0,None,2
12.3,5.4,55,0.66,21.5,8,SP98,0,0,0,0,None,2
14.0,4.3,40,0.6,21.5,8,SP98,0,0,0,0,None,2
11.8,4.5,37,0.53,21.5,4,SP98,1,0,0,0,None,2
12.3,5.2,55,0.64,21.5,12,SP98,0,0,0,0,None,2
2.0,6.2,20,0.12,21.5,10,SP98,0,0,0,0,None,2
13.9,5.1,29,0.71,21.5,6,SP98,0,0,0,0,None,2
9.7,3.9,42,0.38,21.5,8,SP98,0,0,0,0,None,2
11.6,5.0,25,0.58,21.5,6,SP98,0,0,0,0,None,2
14.2,5.4,38,0.77,21.5,7,SP98,0,0,0,0,None,2
11.8,4.5,39,0.53,21.5,6,SP98,0,0,0,0,None,2
24.8,5.1,50,1.26,21.5,9,SP98,0,0,0,0,None,2
12.4,4.7,56,0.58,21.5,7,SP98,0,0,0,0,None,2
34.8,4.0,28,1.39,20.0,4,SP98,0,0,0,0,None,2
14.2,5.4,36,0.77,20.0,6,SP98,0,0,0,0,None,2
5.2,4.5,39,0.23,20.0,10,SP98,0,0,0,0,None,2
10.5,3.6,42,0.38,20.0,10,SP98,0,0,0,37.7,SP98,3
12.3,5.2,57,0.64,20.0,10,SP98,0,0,0,0,None,3
11.8,4.9,25,0.58,20.0,11,SP98,0,0,0,0,None,3
12.3,6.2,58,0.76,20.0,11,SP98,0,1,0,0,None,3
13.2,4.3,51,0.57,20.0,11,SP98,0,1,0,0,None,3
13.0,5.0,45,0.65,20.0,11,SP98,0,1,0,0,None,3
12.9,5.1,32,0.66,20.0,11,SP98,0,0,0,0,None,3
13.9,5.6,22,0.78,20.0,8,SP98,0,0,0,0,None,3
11.8,4.3,37,0.51,20.0,6,SP98,0,0,0,0,None,3
12.2,5.8,60,0.71,20.0,11,SP98,0,0,0,0,None,3
